name,width,height,svg_bytes,webp_bytes
clover_10_1.svg,169,244,28440,3916
clover_10_2.svg,169,244,28440,3916
clover_2_1.svg,169,244,10304,1812
clover_2_2.svg,169,244,10304,1812
clover_3_1.svg,169,244,13158,2372
clover_3_2.svg,169,244,13158,2372
clover_4_1.svg,169,244,14680,2314
clover_4_2.svg,169,244,14680,2314
clover_5_1.svg,169,244,17725,2820
clover_5_2.svg,169,244,17725,2820
clover_6_1.svg,169,244,20621,3072
clover_6_2.svg,169,244,20621,3072
clover_7_1.svg,169,244,20207,2916
clover_7_2.svg,169,244,20207,2916
clover_8_1.svg,169,244,23628,3388
clover_8_2.svg,169,244,23628,3388
clover_9_1.svg,169,244,24824,3470
clover_9_2.svg,169,244,24824,3470
clover_a_1.svg,169,244,11549,1866
clover_a_2.svg,169,244,11549,1866
clover_j_1.svg,169,244,15995,2744
clover_j_2.svg,169,244,15995,2744
clover_k_1.svg,169,244,65365,11478
clover_k_2.svg,169,244,65365,11478
clover_q_1.svg,169,244,49435,10374
clover_q_2.svg,169,244,49435,10374
diamond_10_1.svg,169,244,15530,3738
diamond_10_2.svg,169,244,15530,3738
diamond_2_1.svg,169,244,6288,1970
diamond_2_2.svg,169,244,6288,1970
diamond_3_1.svg,169,244,8690,2370
diamond_3_2.svg,169,244,8690,2370
diamond_4_1.svg,169,244,8742,2334
diamond_4_2.svg,169,244,8742,2334
diamond_5_1.svg,169,244,10358,2766
diamond_5_2.svg,169,244,10358,2766
diamond_6_1.svg,169,244,11266,3090
diamond_6_2.svg,169,244,11266,3090
diamond_7_1.svg,169,244,10294,2924
diamond_7_2.svg,169,244,10294,2924
diamond_8_1.svg,169,244,11782,3384
diamond_8_2.svg,169,244,11782,3384
diamond_9_1.svg,169,244,13297,3510
diamond_9_2.svg,169,244,13297,3510
diamond_a_1.svg,169,244,7528,2018
diamond_a_2.svg,169,244,7528,2018
diamond_j_1.svg,169,244,14134,3052
diamond_j_2.svg,169,244,14134,3052
diamond_k_1.svg,169,244,64210,11596
diamond_k_2.svg,169,244,64210,11596
diamond_q_1.svg,169,244,47990,10532
diamond_q_2.svg,169,244,47990,10532
heart_10_1.svg,169,244,18632,4032
heart_10_2.svg,169,244,18632,4032
heart_2_1.svg,169,244,7295,2178
heart_2_2.svg,169,244,7295,2178
heart_3_1.svg,169,244,10096,2578
heart_3_2.svg,169,244,10096,2578
heart_4_1.svg,169,244,9926,2504
heart_4_2.svg,169,244,9926,2504
heart_5_1.svg,169,244,11483,2924
heart_5_2.svg,169,244,11483,2924
heart_6_1.svg,169,244,14479,3252
heart_6_2.svg,169,244,14479,3252
heart_7_1.svg,169,244,12091,3148
heart_7_2.svg,169,244,12091,3148
heart_8_1.svg,169,244,15230,3640
heart_8_2.svg,169,244,15230,3640
heart_9_1.svg,169,244,16298,3814
heart_9_2.svg,169,244,16298,3814
heart_a_1.svg,169,244,8513,2238
heart_a_2.svg,169,244,8513,2238
heart_j_1.svg,169,244,12459,2828
heart_j_2.svg,169,244,12459,2828
heart_k_1.svg,169,244,64481,11690
heart_k_2.svg,169,244,64481,11690
heart_q_1.svg,169,244,48261,10606
heart_q_2.svg,169,244,48261,10606
o_o_1.svg,169,244,8030,1592
o_o_2.svg,169,244,8030,1592
o_o_3.svg,169,244,8030,1592
o_o_4.svg,169,244,8030,1592
spade_10_1.svg,169,244,23897,3682
spade_10_2.svg,169,244,23897,3682
spade_2_1.svg,169,244,9591,1694
spade_2_2.svg,169,244,9591,1694
spade_3_1.svg,169,244,11731,2036
spade_3_2.svg,169,244,11731,2036
spade_4_1.svg,169,244,14004,2062
spade_4_2.svg,169,244,14004,2062
spade_5_1.svg,169,244,15372,2600
spade_5_2.svg,169,244,15372,2600
spade_6_1.svg,169,244,18235,2876
spade_6_2.svg,169,244,18235,2876
spade_7_1.svg,169,244,17842,2800
spade_7_2.svg,169,244,17842,2800
spade_8_1.svg,169,244,19710,3206
spade_8_2.svg,169,244,19710,3206
spade_9_1.svg,169,244,21661,3338
spade_9_2.svg,169,244,21661,3338
spade_a_1.svg,169,244,10370,1760
spade_a_2.svg,169,244,10370,1760
spade_j_1.svg,169,244,13317,2426
spade_j_2.svg,169,244,13317,2426
spade_k_1.svg,169,244,64742,11298
spade_k_2.svg,169,244,64742,11298
spade_q_1.svg,169,244,48812,10206
spade_q_2.svg,169,244,48812,10206
